PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,True,F/71/P,TRAPPIST-1e,33.0,False,0,0,0,0,0,Jordan Benson,True
0001_02,Mars,True,D/9/P,TRAPPIST-1e,26.6,False,0,0,0,0,0,Priya Kaur,True
0002_01,Mars,True,F/180/S,TRAPPIST-1e,34.5,False,0,0,0,0,0,Kai Vega,False
0002_02,Earth,False,B/179/S,TRAPPIST-1e,43.2,False,121,466,1238,330,1482,Remy Vivaldi,False
0003_01,Earth,True,D/25/S,TRAPPIST-1e,30.8,False,0,0,0,0,0,Mila Benson,True
0003_02,Mars,True,D/21/S,PSO J318.5-22,38.1,False,0,0,0,0,0,Nova Stark,True
0004_01,Europa,True,F/59/S,TRAPPIST-1e,22.2,False,0,0,0,0,0,Jordan Benson,True
0004_02,Mars,False,C/42/S,TRAPPIST-1e,22.7,False,276,1184,459,1337,21,Kai Vega,False
0005_01,Europa,False,E/163/P,55 Cancri e,3.6,False,1499,699,975,189,957,Lara Xel'Naga,False
0005_02,Earth,False,F/177/P,PSO J318.5-22,34.0,False,686,957,562,1267,831,Mila Benson,True
0006_01,Earth,False,D/69/P,TRAPPIST-1e,39.3,False,646,20,840,166,1297,Hiro Tanaka,False
0006_02,Earth,True,D/102/S,TRAPPIST-1e,27.0,False,0,0,0,0,0,Remy Vivaldi,True
0007_01,Mars,True,E/110/S,TRAPPIST-1e,22.0,False,0,0,0,0,0,Lara Xel'Naga,True
0007_02,Earth,False,G/29/P,PSO J318.5-22,37.5,False,564,897,1363,91,1390,Aria Lin,False
0008_01,Earth,False,E/120/S,55 Cancri e,37.5,False,775,34,205,1104,1411,Mila Benson,False
0008_02,Earth,False,E/193/S,PSO J318.5-22,43.8,False,1025,1021,1413,565,1129,Jordan Benson,True
0009_01,Earth,False,F/185/S,55 Cancri e,23.4,False,401,729,161,201,995,Priya Kaur,False
0009_02,Europa,True,F/130/P,TRAPPIST-1e,28.7,False,0,0,0,0,0,Lara Xel'Naga,True
0010_01,Europa,False,A/154/S,55 Cancri e,35.4,True,455,1485,1275,1016,295,Nova Stark,False
0010_02,Earth,True,B/146/P,TRAPPIST-1e,29.7,False,0,0,0,0,0,Jordan Benson,False
0011_01,Mars,False,B/169/S,55 Cancri e,32.7,False,878,1076,791,216,763,Priya Kaur,False
0011_02,Mars,False,E/194/P,PSO J318.5-22,34.6,False,187,379,492,1064,1180,Aria Lin,False
0012_01,Mars,False,D/31/P,TRAPPIST-1e,33.8,False,418,288,378,230,1017,Mila Benson,False
0012_02,Earth,False,A/19/P,TRAPPIST-1e,36.9,False,40,1051,134,200,779,Mila Benson,False
0013_01,Earth,False,C/172/S,TRAPPIST-1e,23.2,False,406,804,98,683,725,Ethan Zhao,False
0013_02,Europa,False,B/122/S,TRAPPIST-1e,26.1,False,960,612,1485,642,1028,Aria Lin,False
0014_01,Mars,False,G/187/P,PSO J318.5-22,43.0,False,870,794,392,206,1038,Aria Lin,True
0014_02,Mars,False,G/28/P,TRAPPIST-1e,31.4,False,891,1484,863,742,1264,Ilya Komarov,True
0015_01,Earth,True,B/20/S,55 Cancri e,28.9,False,0,0,0,0,0,Aria Lin,False
0015_02,Earth,False,G/61/P,55 Cancri e,8.1,False,484,1430,230,748,1194,Remy Vivaldi,False
0016_01,Earth,True,A/100/S,55 Cancri e,44.2,False,0,0,0,0,0,Ethan Zhao,False
0016_02,Mars,False,D/40/P,TRAPPIST-1e,36.2,False,577,681,556,1012,645,Mila Benson,False
0017_01,Mars,True,C/15/P,55 Cancri e,13.2,False,0,0,0,0,0,Priya Kaur,True
0017_02,Mars,True,B/18/P,PSO J318.5-22,25.7,False,0,0,0,0,0,Leo Stark,True
0018_01,Mars,True,E/11/P,55 Cancri e,37.6,False,0,0,0,0,0,Hiro Tanaka,True
0018_02,Earth,True,F/81/P,TRAPPIST-1e,25.9,False,0,0,0,0,0,Aria Lin,True
0019_01,Mars,False,G/19/P,55 Cancri e,20.3,False,1496,1254,189,1248,1408,Hiro Tanaka,False
0019_02,Earth,False,E/68/P,TRAPPIST-1e,24.4,False,1400,1306,632,627,972,Remy Vivaldi,False
0020_01,Earth,False,E/181/S,PSO J318.5-22,1.4,False,1248,1257,683,663,1397,Aria Lin,False
0020_02,Europa,False,C/170/P,TRAPPIST-1e,31.5,False,1495,1256,1136,441,563,Jordan Benson,False
0021_01,Earth,True,E/54/S,TRAPPIST-1e,36.2,False,0,0,0,0,0,Kai Vega,True
0021_02,Earth,False,G/14/P,PSO J318.5-22,17.5,False,1410,1136,951,1104,698,Kai Vega,True
0022_01,Earth,False,F/68/P,PSO J318.5-22,28.6,False,854,1248,384,1426,1153,Ethan Zhao,False
0022_02,Earth,True,F/39/P,TRAPPIST-1e,52.6,False,0,0,0,0,0,Lara Xel'Naga,True
0023_01,Earth,False,G/11/S,TRAPPIST-1e,3.0,False,1439,246,835,1462,202,Aria Lin,True
0023_02,Europa,False,G/105/P,TRAPPIST-1e,42.8,False,1207,122,400,766,293,Lara Xel'Naga,False
0024_01,Earth,True,C/106/P,TRAPPIST-1e,42.0,False,0,0,0,0,0,Ethan Zhao,True
0024_02,Earth,False,B/52/S,TRAPPIST-1e,14.0,False,197,981,751,143,608,Remy Vivaldi,True
0025_01,Europa,True,C/72/P,PSO J318.5-22,28.3,False,0,0,0,0,0,Aria Lin,True
0025_02,Europa,False,E/85/P,TRAPPIST-1e,16.0,False,463,1372,659,763,954,Kai Vega,True
0026_01,Earth,True,E/112/S,PSO J318.5-22,35.2,False,0,0,0,0,0,Leo Stark,True
0026_02,Mars,True,E/49/S,TRAPPIST-1e,18.5,False,0,0,0,0,0,Mila Benson,True
0027_01,Mars,False,F/189/P,TRAPPIST-1e,22.6,False,488,928,550,337,871,Aria Lin,False
0027_02,Europa,False,G/32/S,55 Cancri e,39.0,False,640,472,150,1438,1321,Leo Stark,False
0028_01,Europa,True,B/50/S,PSO J318.5-22,36.1,False,0,0,0,0,0,Aria Lin,True
0028_02,Earth,False,C/104/P,TRAPPIST-1e,15.7,False,345,623,1016,880,1,Leo Stark,False
0029_01,Europa,False,D/114/S,PSO J318.5-22,38.0,False,1014,8,1256,1122,815,Ilya Komarov,False
0029_02,Europa,True,A/73/S,TRAPPIST-1e,29.5,False,0,0,0,0,0,Remy Vivaldi,True
0030_01,Earth,False,B/7/P,TRAPPIST-1e,29.1,False,53,1143,627,586,1443,Hiro Tanaka,False
0030_02,Earth,False,F/148/P,PSO J318.5-22,29.1,False,1445,103,253,1250,1135,Ilya Komarov,False
0031_01,Earth,False,A/193/P,PSO J318.5-22,30.9,False,913,877,337,821,1186,Lara Xel'Naga,False
0031_02,Europa,False,A/143/P,TRAPPIST-1e,20.9,False,956,160,800,397,1300,Ilya Komarov,False
0032_01,Mars,False,G/114/S,55 Cancri e,23.4,False,1415,1158,1218,400,639,Lara Xel'Naga,False
0032_02,Mars,False,G/64/S,PSO J318.5-22,16.9,False,1056,687,459,954,469,Ilya Komarov,False
0033_01,Earth,False,F/74/P,TRAPPIST-1e,19.1,False,37,229,1388,562,437,Priya Kaur,True
